time_s,j_A_cm2,charge_C_cm2,stopped,T1_C,T2_C,T3_C,T4_C,T5_C,TEL_C,TER_C,cell1_q_W_cm2,cell2_q_W_cm2,cell3_q_W_cm2,cell4_q_W_cm2,cell5_q_W_cm2,cell1_V_V,cell2_V_V,cell3_V_V,cell4_V_V,cell5_V_V,cell1_ice_bulk,cell2_ice_bulk,cell3_ice_bulk,cell4_ice_bulk,cell5_ice_bulk,cell1_pore_ice_bulk,cell2_pore_ice_bulk,cell3_pore_ice_bulk,cell4_pore_ice_bulk,cell5_pore_ice_bulk,cell1_mem_ice_bulk,cell2_mem_ice_bulk,cell3_mem_ice_bulk,cell4_mem_ice_bulk,cell5_mem_ice_bulk,cell1_pore_ice_saturation,cell2_pore_ice_saturation,cell3_pore_ice_saturation,cell4_pore_ice_saturation,cell5_pore_ice_saturation,cell1_lambda,cell2_lambda,cell3_lambda,cell4_lambda,cell5_lambda,cell1_j_over_jlim,cell2_j_over_jlim,cell3_j_over_jlim,cell4_j_over_jlim,cell5_j_over_jlim,cell1_gas_porosity,cell2_gas_porosity,cell3_gas_porosity,cell4_gas_porosity,cell5_gas_porosity,cell1_state,cell2_state,cell3_state,cell4_state,cell5_state,cell1_risk,cell2_risk,cell3_risk,cell4_risk,cell5_risk,cell1_rT_K_s,cell2_rT_K_s,cell3_rT_K_s,cell4_rT_K_s,cell5_rT_K_s,cell1_rV_V_s,cell2_rV_V_s,cell3_rV_V_s,cell4_rV_V_s,cell5_rV_V_s,cell1_ice_est,cell2_ice_est,cell3_ice_est,cell4_ice_est,cell5_ice_est,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,water_inventory_kg,water_produced_kg,water_out_kg
0,0,0,0,-22.0958036308,-22.0546529118,-22.0434193458,-22.0546528324,-22.0958071689,-22.1591261288,-22.1591371404,0,0,0,0,0,1.26059080926,1.26055444763,1.26054452142,1.26055444756,1.26059081238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7415e-05,0,0
0.025,0.000125,1.5625e-06,0,-22.0434291756,-21.9738569822,-21.9927048116,-21.9738569134,-22.043432729,-22.1590845292,-22.1590955381,1,1,0.624511558772,1,1,0.933175363218,0.933410070305,0.933345095657,0.933410070534,0.933175351335,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,2.62825098336e-10,2.62266527368e-10,2.62114052712e-10,2.62266526291e-10,2.62825146363e-10,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,6.24732822287e-10,6.23405104274e-10,6.23042673431e-10,6.23405101715e-10,6.24732936446e-10,2.99992609478,2.99992609478,2.99992609478,2.99992609478,2.99992609478,4.30385477646e-06,4.30277189945e-06,4.30344877383e-06,4.30277189904e-06,4.30385480716e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89031972423,0.000100914244731,-0.00107607057998,0.0397828452385,2.84956172266,5.41337807913e-13,-1.69214683549e-21,1.7414596699e-05,1.82185054672e-11,4.2151949228e-10
0.05,0.00025,6.25e-06,0,-21.9911669497,-21.8932186911,-21.9418111586,-21.8932186329,-21.9911705182,-22.1590241532,-22.1590351595,1,1,0.624511558772,1,1,0.903317074647,0.903635266204,0.903476590539,0.903635266391,0.903317063136,1.35033810813e-09,1.34615904739e-09,1.34694987313e-09,1.34615904267e-09,1.35033834348e-09,1.35033810813e-09,1.34615904739e-09,1.34694987313e-09,1.34615904267e-09,1.35033834348e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.20974116502e-09,3.19980757639e-09,3.20168736186e-09,3.19980756518e-09,3.20974172445e-09,2.99985976713,2.99985974194,2.99985975711,2.99985974194,2.99985976713,8.60679866473e-06,8.6041191564e-06,8.6060021655e-06,8.60411915578e-06,8.60679872639e-06,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78063944846,0.000431414589178,-0.00204324684686,0.0798270015687,5.69920061464,5.89930881922e-13,-6.84243802704e-22,1.74142635082e-05,7.28740218687e-11,8.0936582531e-10
0.075,0.000375,1.40625e-05,0,-21.939018369,-21.8127395745,-21.8907429223,-21.8127395268,-21.9390219527,-22.1589450486,-22.1589560522,1,1,0.624511558772,1,1,0.885900604021,0.886301626956,0.886053518983,0.886301627106,0.885900592709,3.82090597476e-09,3.80538758317e-09,3.81172593943e-09,3.80538757157e-09,3.82090662828e-09,3.82090597476e-09,3.80538758317e-09,3.81172593943e-09,3.80538757157e-09,3.82090662828e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.0822580812e-09,9.04537100824e-09,9.06043722233e-09,9.04537098068e-09,9.08225963462e-09,2.9997932299,2.99979317726,2.99979321181,2.99979317726,2.9997932299,1.29089188935e-05,1.2904175253e-05,1.29077370344e-05,1.29041752523e-05,1.29089189864e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6709591727,0.00100367819923,-0.00301488587673,0.120131900765,8.54881606425,-3.65110719436e-13,-4.39318932049e-21,1.74139659349e-05,1.63966549205e-10,1.19803163608e-09
0.1,0.0005,2.5e-05,0,-21.8869828889,-21.7324182634,-21.8395017009,-21.7324182262,-21.8869864877,-22.1588472627,-22.1588582636,1,1,0.624511558772,1,1,0.873576803973,0.874059730821,0.873725114427,0.874059730936,0.87357679279,8.22700514353e-09,8.18562358907e-09,8.20782075772e-09,8.1856235675e-09,8.22700653867e-09,8.22700514353e-09,8.18562358907e-09,8.20782075772e-09,8.1856235675e-09,8.22700653867e-09,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.95555149597e-08,1.94571513883e-08,1.95099138524e-08,1.94571513371e-08,1.95555182759e-08,2.9997268344,2.99972674929,2.99972680824,2.99972674929,2.9997268344,1.72101950571e-05,1.72029081201e-05,1.72086266741e-05,1.72029081196e-05,1.72101951813e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5612788969,0.00182453927466,-0.00398642421788,0.160696977323,11.3984200347,7.97611976466e-13,2.59403840097e-22,1.74137047788e-05,2.91496087475e-10,1.58671724642e-09
0.125,0.000625,3.90625e-05,0,-21.8350600826,-21.6522535739,-21.7880892507,-21.6522535473,-21.8350636965,-22.1587308427,-22.158741841,1,1,0.624511558772,1,1,0.864042787716,0.864606745293,0.86418796192,0.864606745374,0.864042776623,1.51160589176e-08,1.5025356809e-08,1.50815704421e-08,1.50253567753e-08,1.51160614712e-08,1.51160589176e-08,1.5025356809e-08,1.50815704421e-08,1.50253567753e-08,1.51160614712e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,3.59307319173e-08,3.5715133846e-08,3.58487531307e-08,3.57151337659e-08,3.59307379872e-08,2.99966060477,2.99966048244,2.99966057062,2.99966048244,2.99966060478,2.15106301384e-05,2.1500321639e-05,2.15086669878e-05,2.15003216388e-05,2.15106302943e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4515986212,0.00289877813338,-0.00495799276093,0.201521667875,14.2480177387,7.31553706501e-13,-3.66394689247e-21,1.74134800067e-05,4.55462636679e-10,1.97545597254e-09
0.15,0.00075,5.625e-05,0,-21.7832495401,-21.5722443575,-21.7365073361,-21.5722443413,-21.7832531689,-22.1585958358,-22.1586068314,1,1,0.624511558772,1,1,0.856272902737,0.856917104864,0.856416162006,0.856917104913,0.85627289171,2.50304749171e-08,2.48559487733e-08,2.4974263243e-08,2.4855948727e-08,2.50304791401e-08,2.50304749171e-08,2.48559487733e-08,2.4974263243e-08,2.4855948727e-08,2.50304791401e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,5.94972068387e-08,5.90823598128e-08,5.93635922106e-08,5.90823597029e-08,5.94972168768e-08,2.99959457402,2.99959440975,2.99959453187,2.99959440975,2.99959457402,2.58102283969e-05,2.57964216341e-05,2.58078551877e-05,2.57964216344e-05,2.58102285847e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3419183454,0.00423006768804,-0.00592956774851,0.242605411103,17.0976134342,1.29371513502e-12,-1.89285393932e-21,1.74132916178e-05,6.55866196818e-10,2.36424837233e-09
0.175,0.000875,7.65625e-05,0,-21.7315508634,-21.4923894937,-21.6847577231,-21.492389488,-21.7315545071,-22.1584422887,-22.1584532817,1,1,0.624511558772,1,1,0.849720095248,0.850443835462,0.849862521463,0.850443835478,0.849720084271,3.85076822843e-08,3.82016856627e-08,3.84221345951e-08,3.8201685606e-08,3.85076887826e-08,3.85076822843e-08,3.82016856627e-08,3.84221345951e-08,3.8201685606e-08,3.85076887826e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,9.15324038134e-08,9.08050526805e-08,9.13290577493e-08,9.08050525457e-08,9.15324192598e-08,2.99952877299,2.99952856215,2.99952872283,2.99952856215,2.99952877299,3.01089941255e-05,3.0091213962e-05,3.01061885988e-05,3.0091213963e-05,3.01089943454e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2322380696,0.0058213853242,-0.00690112971448,0.283947647676,19.9472106776,2.03065342319e-12,-1.51565957999e-21,1.74131396113e-05,8.92706767891e-10,2.75309550544e-09
0.2,0.001,0.0001,0,-21.6799636629,-21.4126878852,-21.6328421739,-21.4126878899,-21.6799673215,-22.1582702483,-22.1582812386,1,1,0.624511558772,1,1,0.844057858852,0.8448604982,0.844200445085,0.844860498185,0.844057847912,5.60801685431e-08,5.55798304599e-08,5.59563625831e-08,5.55798303981e-08,5.60801780182e-08,5.60801685431e-08,5.55798304599e-08,5.59563625831e-08,5.55798303981e-08,5.60801780182e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.33302040749e-07,1.32112741763e-07,1.3300775513e-07,1.32112741617e-07,1.33302063271e-07,2.99946323088,2.99946296889,2.99946317264,2.99946296889,2.99946323089,3.44069316024e-05,3.43847044383e-05,3.44036646118e-05,3.43847044401e-05,3.44069318547e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1225577939,0.00767523034462,-0.00787265851033,0.325547820215,22.7968125455,2.17847961892e-12,-4.70156225285e-21,1.74130239863e-05,1.1659843499e-09,3.14199804916e-09
0.225,0.001125,0.0001265625,0,-21.6284875554,-21.3331384533,-21.5807624432,-21.3331384684,-21.6284912288,-22.1580797611,-22.1580907487,1,1,0.624511558772,1,1,0.839075613435,0.839956569455,0.83921929117,0.83995656941,0.839075602523,7.8275516118e-08,7.75006744026e-08,7.81030638197e-08,7.75006743453e-08,7.82755293679e-08,7.8275516118e-08,7.75006744026e-08,7.81030638197e-08,7.75006743453e-08,7.82755293679e-08,4.99621491776e-10,4.98859711848e-10,4.98651587787e-10,4.98859710306e-10,4.99621557213e-10,1.86060176178e-07,1.84218384603e-07,1.85650258663e-07,1.84218384467e-07,1.86060207673e-07,2.99939797529,2.99939765762,2.99939790883,2.99939765762,2.99939797529,3.87040450895e-05,3.86768988351e-05,3.87002806809e-05,3.86768988379e-05,3.87040453744e-05,0.3916,0.3916,0.3916,0.3916,0.3916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0128775181,0.00979375302923,-0.00884413375293,0.367405373255,25.6464217641,1.09651177027e-12,-1.23878568536e-22,1.74129447425e-05,1.47569894284e-09,3.53095644581e-09
