case,candidate,stage,seed,noise_T_K,noise_V_V,initial_shift_K,G_factor,G_EP_factor,h_factor,first_success_s,stop_s,elapsed_s,E_aux_J,E_gen_J,E_phase_J,E_loss_J,E_sensible_J,energy_residual_J,water_residual_kg,min_voltage_V,max_ice_bulk,dTmax_K,final_min_T_C,final_max_T_C,final_left_EP_C,min_gas_porosity,max_j_over_jlim,min_kappa_S_m,min_inventory,max_iteration_error_K,max_power_W_cm2,charge_at_success_C_cm2,post_min_T_C,post_min_voltage_V,post_max_ice_bulk,post_energy_J,first_success_energy_J,max_water_residual_kg,first_min_voltage_V,first_max_ice_bulk,first_dTmax_K,charge_at_stop_C_cm2,physical_hold_completed,physical_hold_s,observer_max_temperature_error_K,observer_max_ice_error,post_max_iteration_error_K,startup_window_end_s,feasible,shutdown_mode,sensor_stop_margin_C
case1,0,training,2000,0.2,0.005,-1,1,1.2,1.2,97.0100459933,-1,98.6666666667,3380.35606933,2319.70933129,18.8022710455,353.829186052,5365.03848561,-5.16138243256e-11,2.66534841073e-17,0.547671665489,0.369032679812,6.71015337092,0.0253366268361,6.48074155325,-11.7587692561,0.272369168106,0.0126339193021,0.423858397741,0,3.5887381955e-10,1,20.103013798,,,,,3308.10115646,2.66534841073e-17,0.547671665489,0.369032679812,6.71015337092,-1,0,0,1.73875425828,0.00161729887342,0,98.6666666667,False,sensor,0.2
case1,0,training,2001,0.2,0.005,0,1,1.2,1,95.8947850466,-1,98.6666666667,3191.67126092,2313.1378339,17.6216504239,305.584112469,5216.84663278,-4.64410732093e-11,2.85199381472e-17,0.54988177653,0.356678160475,6.75593741723,0.0805755795514,6.73057538981,-11.3164831134,0.274764881352,0.0126098498536,0.433085516812,0,3.4289548978e-10,1,19.768435514,,,,,3079.50662368,2.88603776294e-17,0.54988177653,0.356678160475,6.75593741723,-1,0,0,1.70890665349,0.000676697342292,0,98.6666666667,False,sensor,0.2
case1,0,training,2002,0.2,0.005,1,0.8,1,0.8,96.3055642009,-1,98.6666666667,2686.64960393,2302.10389175,15.0237981049,252.551506189,4751.2257876,-6.43751718599e-11,2.48011246956e-17,0.552590264188,0.34850207551,8.27078048713,0.0835709228174,8.31547185971,-12.5922367956,0.276946612197,0.0125916989232,0.442435445386,0,3.56045554151e-10,0.901554166007,19.8916692603,,,,,2606.76371232,2.7739312583e-17,0.552590264188,0.34850207551,8.27078048713,-1,0,0,0.772444504527,0.000754451472781,0,98.6666666667,False,sensor,0.2
case1,0,training,2003,0.2,0.005,-1,1,1,1,95.9063857198,-1,98.6666666667,2996.33304491,2318.68978483,18.4736292206,296.603919696,5036.89253926,-1.1425527191e-11,2.89677136445e-17,0.548061132213,0.365284925425,6.69218457413,0.0840892420643,6.61565880633,-13.4451564087,0.272798128399,0.0126275895683,0.423755960947,0,4.27953547599e-10,1,19.7719157159,,,,,2886.96553993,2.90446919987e-17,0.548061132213,0.365284925425,6.69218457413,-1,0,0,0.667057278833,0.000697289333234,0,98.6666666667,False,sensor,0.2
case1,0,training,2004,0.2,0.005,0,1.2,1,1.2,96.1292948961,-1,98.6666666667,2895.29898464,2316.43157301,19.047815088,367.591802931,4863.18656981,-6.88942236593e-11,2.36692176275e-17,0.55063582585,0.356071158256,5.83694164229,0.086393329885,5.68177561285,-13.0146656497,0.274940884875,0.0126083197153,0.433085516812,0,4.20768059284e-10,0.980720269936,19.8387884688,,,,,2797.71584204,2.36692176275e-17,0.55063582585,0.356071158256,5.83694164229,-1,0,0,0.782565643208,0.00104480493254,0,98.6666666667,False,sensor,0.2
case1,0,training,2005,0.2,0.005,1,1,0.8,1,95.9062292337,-1,98.6666666667,2326.26577132,2306.14036052,16.5619323951,317.018360387,4331.94970385,3.38218342222e-11,2.836164463e-17,0.552898902894,0.346081041363,6.88687943939,-0.00916250200434,6.82380780307,-14.5614269143,0.277275719496,0.0125918107624,0.442265189754,0,3.41110334423e-10,0.838981590562,19.7718687701,,,,,2241.88032693,2.90598708291e-17,0.552898902894,0.346081041363,6.88687943939,-1,0,0,1.99664470114,0.00121052026729,0,98.6666666667,False,sensor,0.2
case1,1,training,2000,0.2,0.005,-1,1,1.2,1.2,94.5183137178,97.4,97.4,3492.96336567,2270.34153286,16.7393280099,357.213955866,5422.83027067,-4.49063009e-11,2.79008587067e-17,0.550771330137,0.345553830637,6.51103824941,0.5994844861,6.95125708242,-11.5861507029,0.276603421841,0.0125373377621,0.423858397741,0,3.63231222877e-10,1,19.3554941154,0.5994844861,0.579591652505,0.344199341083,0,3353.88443387,2.79908474871e-17,0.550771330137,0.345553830637,6.51103824941,20.22,1,2.88168628216,1.76864174786,0.00179521531,0,98.6666666667,True,sensor,0.2
case1,1,training,2001,0.2,0.005,0,1,1.2,1,92.6201499343,96.2,96.2,3271.09195031,2224.28242452,15.8651828049,301.430686691,5209.80887095,-6.59383658785e-12,2.62008297003e-17,0.552971735338,0.332043698037,6.54994899866,0.562775474688,7.0316720891,-11.4460411119,0.280558189808,0.0124646033518,0.433085516812,0,4.56574111851e-10,1,18.7860449803,0.562775474688,0.581431570089,0.330160368835,0,3106.25012318,2.62008297003e-17,0.552971735338,0.332043698037,6.54994899866,19.86,1,3.57985006571,1.72791426071,0.00061610059053,0,98.6666666667,True,sensor,0.2
case1,1,training,2002,0.2,0.005,1,0.8,1,0.8,92.4135407567,95.6,95.6,2749.82426595,2194.33048962,13.688318308,246.381169485,4711.46190439,-4.16378043155e-11,2.52131215212e-17,0.555667230158,0.323299936561,8.04927412885,0.64600814276,8.47290722527,-12.880187613,0.283465804399,0.0124195645047,0.442435445386,0,3.91807697397e-10,0.956334249872,18.724062227,0.64600814276,0.582929925533,0.3214875574,0,2619.32177683,2.68182828375e-17,0.555667230158,0.323299936561,8.04927412885,19.68,1,3.1864592433,0.77245331762,0.000652792912653,0,98.6666666667,True,sensor,0.2
case1,1,training,2003,0.2,0.005,-1,1,1,1,92.6154530883,96,96,3067.6465892,2222.78293605,16.6886430303,291.68225999,5015.43590828,1.54045665113e-11,2.441406452e-17,0.551259029017,0.339820919222,6.49077739705,0.530991788728,6.89459297142,-13.6540152947,0.279004386498,0.0124758173516,0.423858397741,0,3.65536823033e-10,1,18.7846359265,0.530991788728,0.579978496474,0.337777674922,0,2911.87936658,2.441406452e-17,0.551259029017,0.339820919222,6.49077739705,19.8,1,3.38454691172,0.667057279264,0.000660410084476,0,98.6666666667,True,sensor,0.2
case1,1,training,2004,0.2,0.005,0,1.2,1,1.2,92.5411491394,95.6,95.6,2949.70066816,2207.18467148,17.2276758495,358.508926331,4815.60408916,-3.69482222595e-11,1.90434690586e-17,0.553788360105,0.330719764764,5.67297148782,0.405725277945,5.88818239573,-13.3184686092,0.281535611329,0.0124441736172,0.433085516812,0,3.4304303842e-10,1,18.7623447418,0.405725277945,0.581060118608,0.329041933774,0,2814.20533804,1.90434690586e-17,0.553788360105,0.330719764764,5.67297148782,19.68,1,3.0588508606,0.691482411701,0.000911604797875,0,98.6666666667,True,sensor,0.2
